startTime,endTime,startSessionTime,endSessionTime,duration,x,y,pointCount
1753283729376,1753283729477,21487,21588,101,942.3014993382895,534.5582007358964,1
1753283729477,1753283729593,21588,21704,116,904.6986974866385,499.1974732263051,1
1753283729692,1753283729793,21803,21904,101,828.0355682375077,431.07033403454164,1
1753283729892,1753283730092,22003,22203,200,822.366004516055,373.85424716806983,2
1753283730092,1753283730193,22203,22304,101,798.14695889266,341.4550140767565,1
1753283730292,1753283730392,22403,22503,100,676.0218003055755,348.0548307744906,1
1753283730392,1753283730492,22503,22603,100,635.9586045449005,379.71780230546455,1
1753283730492,1753283730709,22603,22820,217,602.3748403495099,388.72882147783525,2
1753283730709,1753283731009,22820,23120,300,603.156648756395,420.53519496849657,3
1753283731009,1753283731274,23120,23385,265,620.9444348904445,397.4939161143109,2
1753283731274,1753283731425,23385,23536,151,656.1418955937303,373.82436270234615,1
1753283731425,1753283731575,23536,23686,150,706.4275161297684,442.5442675589108,1
1753283731575,1753283731725,23686,23836,150,741.5490434691427,464.81916400017036,1
1753283731725,1753283731892,23836,24003,167,791.4225275622757,514.4223356266498,1
1753283731892,1753283732059,24003,24170,167,824.8131860589436,574.95188826417,1
1753283732059,1753283732208,24170,24319,149,863.1521165602169,620.7883221070164,1
1753283732208,1753283732377,24319,24488,169,883.9466559243045,652.0574369752227,1
1753283732377,1753283732758,24488,24869,381,962.2925024327923,712.4148234030539,3
1753283732758,1753283732859,24869,24970,101,953.4532455892314,681.6239982868887,1
1753283732859,1753283732974,24970,25085,115,950.073127169788,634.48909082279,1
1753283732974,1753283733192,25085,25303,218,934.1522005308316,584.8155362288587,2
1753283733192,1753283733308,25303,25419,116,911.2078941763446,537.433353901822,1
1753283733308,1753283733425,25419,25536,117,853.9747244092825,498.25953373799894,1
1753283733425,1753283733525,25536,25636,100,776.6782475544826,418.6265708504212,1
1753283733525,1753283733643,25636,25754,118,726.5375464068064,354.83421420861447,1
1753283733643,1753283733758,25754,25869,115,729.4814806651282,323.1572284959751,1
1753283733758,1753283733887,25869,25998,129,803.5059386518776,378.08448670416135,1
1753283733995,1753283734144,26106,26255,149,693.9870757747603,257.03872969311396,3
1753283734144,1753283734299,26255,26410,155,731.432264302167,249.85180401384764,3
1753283734299,1753283734402,26410,26513,103,783.1005937041907,238.89731690812442,2
1753283734496,1753283734645,26607,26756,149,879.8634706970166,265.59967758098503,3
1753283734694,1753283734798,26805,26909,104,871.8971950247291,322.0037332636802,2
1753283734860,1753283735002,26971,27113,142,806.3649079926178,343.28296546530737,3
1753283735002,1753283735445,27113,27556,443,763.2240651759034,356.7801737495422,9
1753283735688,1753283735845,27799,27956,157,803.0619200469863,457.587959001809,3
1753283735845,1753283735945,27956,28056,100,901.7900829336078,471.4535385301163,2
1753283736179,1753283736287,28290,28398,108,1166.8908495155413,428.64782523094857,2
1753283736379,1753283736577,28490,28688,198,1243.2995024034515,436.09848960184274,4
1753283737435,1753283737546,29546,29657,111,408.1820937117652,170.27249969585827,2
1753283737902,1753283738012,30013,30123,110,795.4526935966423,289.8912298404274,2
1753283738402,1753283738545,30513,30656,143,790.1535449771768,326.6531401939048,3
