startTime,endTime,startSessionTime,endSessionTime,duration,x,y,pointCount
1753285448547,1753285448772,25790,26015,225,717.479538088166,571.0822888155797,5
1753285448772,1753285448954,26015,26197,182,728.7792296611027,544.205307107624,4
1753285448954,1753285449176,26197,26419,222,709.7017075480259,513.9709830413457,5
1753285449176,1753285449398,26419,26641,222,736.4653372596584,544.382279059895,5
1753285449398,1753285449710,26641,26953,312,757.5559089553781,568.9668746302344,7
1753285450154,1753285450329,27397,27572,175,789.9915875808754,235.90515212860802,4
1753285450329,1753285450463,27572,27706,134,775.8633854491887,243.65694457152145,3
1753285450780,1753285450913,28023,28156,133,981.5230177260747,331.1853910905797,3
1753285451092,1753285451224,28335,28467,132,793.1822857339334,430.69667071647655,3
1753285451491,1753285451715,28734,28958,224,1030.2039678704186,388.9036874751656,5
1753285451715,1753285451938,28958,29181,223,1038.147672405721,369.5038983881342,5
1753285451938,1753285452204,29181,29447,266,1013.3781329457271,359.4923491105237,6
1753285452204,1753285452337,29447,29580,133,973.818857764033,368.2696204074452,3
1753285452337,1753285452470,29580,29713,133,941.7124853621823,362.55813346835015,3
1753285452913,1753285453047,30156,30290,134,638.2163674407549,486.1901137850588,3
1753285453137,1753285453360,30380,30603,223,583.3040268920224,502.5849988859137,5
1753285453448,1753285453581,30691,30824,133,635.4991901376907,459.2326928378234,3
1753285453671,1753285453848,30914,31091,177,627.5705840165706,392.12569420784666,4
1753285453848,1753285454337,31091,31580,489,666.2599104523974,376.9749710514565,11
1753285454870,1753285455183,32113,32426,313,1032.58026937814,409.53135840755795,7
1753285455183,1753285455364,32426,32607,181,1037.0403959162238,354.1427479157192,4
1753285455364,1753285455497,32607,32740,133,1024.9620232772666,323.195771785663,3
1753285455497,1753285455630,32740,32873,133,976.7583501491863,305.0245954423297,3
1753285455987,1753285456121,33230,33364,134,902.6902949147708,493.25622310977434,3
1753285456121,1753285456365,33364,33608,244,900.4928973409376,510.887314502172,5
1753285456631,1753285456813,33874,34056,182,712.4201734297983,503.40505534656324,4
1753285456948,1753285457088,34191,34331,140,882.6621002950264,468.05915776001285,3
1753285457539,1753285457674,34782,34917,135,879.458940042335,486.4055785967319,3
1753285457674,1753285458079,34917,35322,405,913.0526025144013,478.15906934158073,9
1753285458172,1753285458394,35415,35637,222,887.2979945624596,392.87273696668416,5
1753285458483,1753285458713,35726,35956,230,890.3567531560509,346.0400417842603,5
1753285458713,1753285458988,35956,36231,275,859.6972521148791,340.1999741612771,6
1753285458988,1753285459172,36231,36415,184,874.8801280973821,312.1464484836858,4
1753285459172,1753285459480,36415,36723,308,897.4725806239381,347.9134050913859,7
1753285459660,1753285459796,36903,37039,136,791.1471865718648,398.2734434638656,3
1753285459796,1753285460022,37039,37265,226,779.0201683274636,423.8183032402153,5
1753285460022,1753285460483,37265,37726,461,746.7920813936895,446.068030489764,10
1753285460483,1753285460621,37726,37864,138,713.7315358967984,425.0339657121581,3
1753285460621,1753285460755,37864,37998,134,680.7570047309188,412.11888343243976,3
1753285460755,1753285460984,37998,38227,229,638.5154791036011,403.40997715585297,5
1753285460984,1753285461346,38227,38589,362,615.1978529285705,388.8454357092428,8
1753285461346,1753285461705,38589,38948,359,633.772827553152,363.8642225079491,8
1753285461749,1753285461851,38992,39094,102,723.3830408224555,343.25689303698346,2
1753285461944,1753285462076,39187,39319,132,810.1560831325136,309.51168923739937,3
1753285462076,1753285462613,39319,39856,537,857.1315518552486,312.215183388463,12
1753285462613,1753285462970,39856,40213,357,848.1596751606628,357.1034968170112,8
1753285463239,1753285463367,40482,40610,128,598.1516755211297,485.3537607268883,3
1753285463638,1753285463771,40881,41014,133,813.1865750710764,459.8705990010747,3
1753285463771,1753285463909,41014,41152,138,852.255007334058,453.70374858251444,3
1753285463999,1753285464178,41242,41421,179,959.3178846969961,438.32864691589646,4
1753285464631,1753285464944,41874,42187,313,642.6639769559545,355.31119931475666,7
1753285465214,1753285465394,42457,42637,180,731.9654552125131,488.12791642152075,4
1753285465394,1753285465622,42637,42865,228,758.1931899650936,511.72132714392836,5
1753285465758,1753285465942,43001,43185,184,880.5832511955008,360.8715858699647,3
1753285465942,1753285466178,43185,43421,236,911.6448140540203,371.71343454726264,5
1753285466267,1753285466406,43510,43649,139,849.2794732798794,402.2478766182332,3
1753285466498,1753285466680,43741,43923,182,771.6729941348567,440.1439796728995,4
1753285466680,1753285466913,43923,44156,233,754.4044342865684,470.69298313825647,5
1753285466958,1753285467227,44201,44470,269,772.1190755998799,463.02395327703624,6
1753285467227,1753285467448,44470,44691,221,788.5742513293242,436.61760332862667,5
1753285467448,1753285467672,44691,44915,224,827.6016487462157,414.55580124132683,5
1753285467672,1753285467850,44915,45093,178,856.9749006352463,417.2584157868783,4
1753285467850,1753285467989,45093,45232,139,886.601192421112,414.49098565933105,3
1753285467989,1753285468172,45232,45415,183,908.1110087748476,397.0596407454214,4
1753285468991,1753285469139,46234,46382,148,689.5649525097457,510.6286606892999,3
1753285469239,1753285469345,46482,46588,106,836.7681816015194,617.0321990808703,2
1753285469405,1753285469521,46648,46764,116,905.7068585568798,624.3780167412592,2
1753285469521,1753285470094,46764,47337,573,933.8197572844599,645.7252179680183,10
1753285470094,1753285470205,47337,47448,111,926.5545133418923,647.8485431092934,2
1753285470205,1753285470421,47448,47664,216,952.3763829972033,650.3523883980789,4
1753285470421,1753285470809,47664,48052,388,905.9444294694542,616.8291044539718,7
1753285470809,1753285471140,48052,48383,331,894.2159763340569,606.9487716772672,6
1753285471194,1753285471699,48437,48942,505,880.5654861686608,615.2457213847762,9
1753285471757,1753285471868,49000,49111,111,914.618449694641,580.0177092985929,2
1753285471868,1753285471974,49111,49217,106,873.8680149640974,567.5881753003663,2
1753285471974,1753285472134,49217,49377,160,851.9708882814479,539.0847385785605,3
1753285472405,1753285472606,49648,49849,201,667.5944876545982,490.9625355419913,4
1753285472799,1753285472981,50042,50224,182,754.7156998578686,432.10261906772644,4
1753285473161,1753285473296,50404,50539,135,724.107295650576,415.48997939870634,3
1753285473296,1753285473478,50539,50721,182,785.8913561069153,418.0649205767866,4
1753285473522,1753285473659,50765,50902,137,858.9178244784893,426.1059516803842,3
1753285473929,1753285474334,51172,51577,405,715.501324602885,473.6940530842642,9
1753285474471,1753285474656,51714,51899,185,596.0848758419202,610.5846450186598,4
1753285474938,1753285475041,52181,52284,103,813.6617273900374,604.4199505164067,2
1753285475041,1753285475146,52284,52389,105,846.374967835286,629.1077909067608,2
1753285475146,1753285475314,52389,52557,168,843.5041436578127,632.9377051520979,3
1753285475314,1753285475427,52557,52670,113,806.545466554387,617.8697703861338,2
1753285475427,1753285475934,52670,53177,507,784.4245650493262,596.2513613386255,9
1753285475934,1753285476046,53177,53289,112,759.8073165785086,574.4153244301903,2
1753285476046,1753285476158,53289,53401,112,786.3902426215363,550.2706729024666,2
1753285476158,1753285476576,53401,53819,418,820.1904651709962,570.6669045031585,8
1753285476673,1753285476872,53916,54115,199,863.9036376902724,508.2361098165593,4
1753285476971,1753285477073,54214,54316,102,824.1292490876966,580.8256066542565,2
1753285477073,1753285477280,54316,54523,207,822.3770997514523,616.8957839484774,4
1753285477280,1753285478277,54523,55520,997,807.3301292685239,638.1929800417603,18
1753285478277,1753285478908,55520,56151,631,859.9514881913692,623.753731755588,12
1753285479004,1753285479201,56247,56444,197,932.5466855245694,618.7995569208981,4
1753285480454,1753285480851,57697,58094,397,836.1774759640743,418.73296943558074,9
1753285480851,1753285480987,58094,58230,136,864.2178109119354,433.11312674488454,3
1753285480987,1753285481521,58230,58764,534,889.4657802396458,419.4323113964893,12
1753285481521,1753285481742,58764,58985,221,880.1932555488668,381.2500006362378,5
1753285482288,1753285482421,59531,59664,133,919.46055078399,475.0957347391456,3
1753285482421,1753285482701,59664,59944,280,930.9358901503091,449.0199109949038,6
1753285483340,1753285483476,60583,60719,136,608.7602739971632,523.7245854549195,3
1753285483476,1753285483658,60719,60901,182,595.3883402286501,502.854049761189,4
1753285483658,1753285483799,60901,61042,141,624.4529768156235,487.53133550279944,3
1753285484057,1753285484409,61300,61652,352,853.3151788502379,640.2099373811968,7
1753285484409,1753285484560,61652,61803,151,817.5787274271784,664.0524107239985,3
1753285484560,1753285484805,61803,62048,245,790.1501353541005,680.0025298186133,5
1753285484805,1753285485005,62048,62248,200,760.40406133902,645.7995328074068,4
1753285485005,1753285485143,62248,62386,138,782.1826863006949,617.6264289500172,3
1753285485233,1753285485368,62476,62611,135,732.6165229015942,545.4505827900056,3
1753285485460,1753285485594,62703,62837,134,660.862062469988,534.108239999903,3
1753285485594,1753285485822,62837,63065,228,633.0682708993916,526.5747601116415,5
1753285486182,1753285486315,63425,63558,133,507.1012862948933,372.201976716181,3
1753285486315,1753285486450,63558,63693,135,481.26691504226443,341.48435637935836,3
1753285486450,1753285486821,63693,64064,371,472.7213440619462,328.35250411164145,8
1753285487134,1753285487364,64377,64607,230,614.2576936988856,595.1326577171965,5
1753285487681,1753285487814,64924,65057,133,894.0362563237728,501.7962472303719,3
1753285487814,1753285487947,65057,65190,133,918.6689312145667,477.86318562948486,3
1753285488126,1753285488261,65369,65504,135,650.8605635903641,617.0430416206023,3
1753285488620,1753285488800,65863,66043,180,703.5257355084683,525.7682777600287,4
1753285489565,1753285489701,66808,66944,136,1138.1524487461907,60.77736839938829,3
1753285490332,1753285490555,67575,67798,223,738.7392437270856,428.23763833348187,5
1753285490555,1753285490690,67798,67933,135,750.0685811365623,449.50265262177965,3
1753285491006,1753285491280,68249,68523,274,1125.337884527658,65.04112068885719,6
1753285491693,1753285491828,68936,69071,135,585.2553628813243,293.86871171958364,3
1753285493046,1753285493181,70289,70424,135,637.6524829944852,247.56423820367812,3
1753285493862,1753285494043,71105,71286,181,799.7827718589258,631.0758856507675,4
1753285494133,1753285494272,71376,71515,139,727.2057870490216,629.1114258453376,3
1753285494272,1753285494547,71515,71790,275,695.5897002741275,628.227083301678,6
1753285495177,1753285495310,72420,72553,133,587.8347993084759,583.4991986878732,3
1753285496604,1753285496782,73847,74025,178,747.1790848831738,476.4547452677385,4
1753285496872,1753285497049,74115,74292,177,674.2003672873207,449.6553690900999,4
1753285497289,1753285497389,74532,74632,100,825.7306973425348,562.9621083858162,2
1753285497389,1753285497498,74632,74741,109,915.2531567474429,552.7908489792705,2
1753285497498,1753285497673,74741,74916,175,998.9996850733804,528.1522630147697,3
1753285497673,1753285497789,74916,75032,116,1001.5156331207033,514.1061501314921,2
1753285497789,1753285497898,75032,75141,109,956.4804490395741,516.5081307875766,2
1753285497898,1753285498010,75141,75253,112,927.192857296356,521.7627870857984,2
1753285498244,1753285498363,75487,75606,119,926.1308322574615,282.4282120659197,2
1753285498480,1753285498768,75723,76011,288,940.7275251398208,125.37547530638896,5
1753285498768,1753285499159,76011,76402,391,958.4175139665582,105.89962518833663,7
1753285499159,1753285499272,76402,76515,113,946.7156323927865,126.85969298189437,2
1753285499325,1753285499494,76568,76737,169,893.4423232172566,161.69981299076719,3
1753285499494,1753285499822,76737,77065,328,922.0019994527484,180.20835835647725,6
1753285499822,1753285500150,77065,77393,328,944.968613646404,170.58263587254194,7
