timestamp,sessionTime,x,y,confidence
71725.40000000596,21487,942.3014993382895,534.5582007358964,0
71825.5,21588,904.6986974866385,499.1974732263051,0
71942,21704,869.7975885888068,465.4248487169334,0
72042.80000001192,21803,828.0355682375077,431.07033403454164,0
72143,21904,797.0692274847555,401.7486774869602,0
72242.30000001192,22003,821.5384436176793,382.94384184987786,0
72342.30000001192,22104,823.1935654144309,364.7646524862618,0
72442.90000000596,22203,798.14695889266,341.4550140767565,0
72542.5,22304,725.7985328223623,316.472005095294,0
72643.59999999404,22403,676.0218003055755,348.0548307744906,0
72742.90000000596,22503,635.9586045449005,379.71780230546455,0
72841.5,22603,603.8296781720493,381.30763965513097,0
72942,22703,600.9200025269704,396.1500033005396,0
73043.30000001192,22820,595.1647359126165,428.97465585538754,0
73160.09999999404,22920,609.316114952526,424.96449799451756,0
73260,23019,604.9890954040426,407.6664310555846,0
73358.59999999404,23120,614.9598578703982,399.89892506416066,0
73459.30000001192,23236,626.9290119104909,395.08890716446103,0
73608.90000000596,23385,656.1418955937303,373.82436270234615,0
73758.5,23536,706.4275161297684,442.5442675589108,0
73891.5,23686,741.5490434691427,464.81916400017036,0
74061.59999999404,23836,791.4225275622757,514.4223356266498,0
74209,24003,824.8131860589436,574.95188826417,0
74376.59999999404,24170,863.1521165602169,620.7883221070164,0
74542.09999999404,24319,883.9466559243045,652.0574369752227,0
74691.80000001192,24488,967.4925334033859,721.3148560638216,0
74858,24637,968.5631178085615,717.5552895353529,0
74974.59999999404,24753,950.8218560864294,698.3743246099868,0
75092.5,24869,953.4532455892314,681.6239982868887,0
75207.90000000596,24970,950.073127169788,634.48909082279,0
75308.5,25085,928.5255550777176,589.37262132427,0
75424.09999999404,25202,939.7788459839455,580.2584511334474,0
75541.90000000596,25303,911.2078941763446,537.433353901822,0
75642.20000001788,25419,853.9747244092825,498.25953373799894,0
75760.20000001788,25536,776.6782475544826,418.6265708504212,0
75876.90000000596,25636,726.5375464068064,354.83421420861447,0
75975.40000000596,25754,729.4814806651282,323.1572284959751,0
76093.09999999404,25869,803.5059386518776,378.08448670416135,0
76208,25998,764.7971553963425,346.22408027362235,0
76338.40000000596,26062,724.2299452107958,300.6538771640272,0
76387.30000001192,26106,695.4944835466416,268.8025351768284,0
